"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"ParticuliereHuishoudensRelatief_2";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4";"GemiddeldBesteedbaarInkomen_5";"MediaanBesteedbaarInkomen_6";"GestandaardiseerdInkomen1e10Groep_7";"GestandaardiseerdInkomen2e10Groep_8";"GestandaardiseerdInkomen3e10Groep_9";"GestandaardiseerdInkomen4e10Groep_10";"GestandaardiseerdInkomen5e10Groep_11";"GestandaardiseerdInkomen6e10Groep_12";"GestandaardiseerdInkomen7e10Groep_13";"GestandaardiseerdInkomen8e10Groep_14";"GestandaardiseerdInkomen9e10Groep_15";"GestandaardiseerdInkomen10e10Groep_16"
"67031";"1050010";"A025359";"PV28  ";"2024JJ00";"   481.9";"      27";"    38.8";"    31.5";"    48.6";"    37.4";"       6";"      16";"      18";"      13";"      11";"       9";"       9";"       7";"       6";"       6"
"67042";"1050010";"A025359";"PV29  ";"2021JJ00";"    60.0";"      34";"    29.5";"    26.2";"    36.8";"    32.2";"       5";"      12";"      18";"      16";"      13";"      10";"       9";"       7";"       5";"       4"
"67043";"1050010";"A025359";"PV29  ";"2022JJ00";"    60.8";"      34";"    31.1";"    27.5";"    38.8";"    33.6";"       5";"      12";"      18";"      17";"      13";"      11";"       9";"       7";"       5";"       4"
"67044";"1050010";"A025359";"PV29  ";"2023JJ00";"    61.9";"      34";"    35.5";"    29.7";"    44.4";"    36.3";"       5";"      12";"      18";"      16";"      13";"      11";"       9";"       7";"       5";"       4"
"67045";"1050010";"A025359";"PV29  ";"2024JJ00";"    62.7";"      35";"    37.3";"    31.8";"    46.8";"    38.7";"       5";"      13";"      18";"      16";"      13";"      11";"       9";"       7";"       5";"       4"
"67056";"1050010";"A025359";"PV30  ";"2021JJ00";"   337.4";"      29";"    29.9";"    26.4";"    37.6";"    32.3";"       4";"      13";"      18";"      15";"      13";"      10";"       9";"       7";"       6";"       5"
"67057";"1050010";"A025359";"PV30  ";"2022JJ00";"   344.1";"      29";"    31.6";"    27.7";"    39.7";"    33.8";"       5";"      13";"      18";"      16";"      13";"      10";"       9";"       7";"       5";"       5"
"67058";"1050010";"A025359";"PV30  ";"2023JJ00";"   351.4";"      30";"    36.0";"    29.9";"    45.4";"    36.5";"       5";"      13";"      18";"      15";"      13";"      10";"       9";"       7";"       5";"       5"
"67059";"1050010";"A025359";"PV30  ";"2024JJ00";"   358.3";"      30";"    37.9";"    32.0";"    47.9";"    39.0";"       5";"      14";"      18";"      15";"      12";"      10";"       9";"       7";"       5";"       5"
"67070";"1050010";"A025359";"PV31  ";"2021JJ00";"   173.7";"      33";"    28.4";"    25.5";"    35.6";"    31.0";"       5";"      13";"      19";"      17";"      13";"      10";"       8";"       6";"       5";"       3"
