"ID";"Inkomensbegrippen";"Inkomensklassen";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"PersonenPerHuishouden_2";"PersonenMetInkomenPerHuishouden_3";"GemiddeldInkomen_4";"MediaanInkomen_5"
"236";"A043964";"T001226";"A043959";"2023JJ00";"5148.4";"2.3";"1.9";"86.3";"63.9"
"237";"A043964";"T001226";"A043959";"2024JJ00";"5166.2";"2.3";"1.9";"89.2";"66.8"
"245";"A043964";"T001226";"A043960";"2018JJ00";"2731.4";"1.8";"1.5";"36.7";"17"
"246";"A043964";"T001226";"A043960";"2019JJ00";"2774.7";"1.8";"1.5";"39.6";"19.2"
"247";"A043964";"T001226";"A043960";"2020JJ00";"2836.3";"1.8";"1.5";"41";"20.1"
"248";"A043964";"T001226";"A043960";"2021JJ00";"2874.7";"1.8";"1.5";"43.2";"21.7"
"249";"A043964";"T001226";"A043960";"2022JJ00";"2930.8";"1.8";"1.5";"47.3";"25.2"
"250";"A043964";"T001226";"A043960";"2023JJ00";"3014.6";"1.8";"1.5";"52.5";"27.7"
"251";"A043964";"T001226";"A043960";"2024JJ00";"3092.7";"1.8";"1.5";"56";"30.1"
"259";"A043964";"T001226";"A025340";"2018JJ00";"367";"1.3";"1.1";"18.9";"9.2"
"260";"A043964";"T001226";"A025340";"2019JJ00";"356.7";"1.3";"1.1";"20.5";"10.3"
"261";"A043964";"T001226";"A025340";"2020JJ00";"346.5";"1.3";"1.1";"21.4";"10.7"
"262";"A043964";"T001226";"A025340";"2021JJ00";"345.8";"1.3";"1.2";"23";"12.3"
"263";"A043964";"T001226";"A025340";"2022JJ00";"362";"1.3";"1.2";"25.4";"13.9"
"264";"A043964";"T001226";"A025340";"2023JJ00";"372.2";"1.3";"1.2";"27.1";"15.1"
"265";"A043964";"T001226";"A025340";"2024JJ00";"399.7";"1.2";"1.2";"26.9";"14.1"
"273";"A043964";"T001226";"A025343";"2018JJ00";"2355";"2.5";"1.6";"67.5";"60.2"
"274";"A043964";"T001226";"A025343";"2019JJ00";"2376.3";"2.5";"1.6";"71.4";"63"
"275";"A043964";"T001226";"A025343";"2020JJ00";"2406.9";"2.4";"1.6";"73";"64.8"
"276";"A043964";"T001226";"A025343";"2021JJ00";"2424.8";"2.4";"1.6";"76.7";"67.8"
